GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU,Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Event File Size
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.61792374,0.086073899,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.62123966,0.08604934,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.66220188,0.085747101,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.78188896,0.084876033,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.6306715,0.085979558,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.78413296,0.084859871,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.85632992,0.084343132,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,10.91746521,0.091596353,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.87290573,0.08422538,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.31135273,0.120317358,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.417821884,0.118795576,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.439863205,0.118485333,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.523361206,0.117324607,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.519062996,0.117383802,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.542740822,0.11705845,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.37704277,0.119373868,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.506596565,0.117555828,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,7.991317749,0.125135808,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.396598816,0.119095841,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.507139206,0.117548329,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.520931244,0.117358065,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.07703780477,2343835089,0.3,0.07176148551,0.5625,2633658,8.551761627,0.116934971,P100,custom4,0.2603999441,0.0327343958,140,14.82,2.32,20.12,4.69,8.27
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.232980251,0.138255597,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.159316063,0.139678147,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.105890751,0.140728311,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.183849812,0.139201128,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.214893818,0.138602178,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,6.996669292,0.142925149,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,6.77968359,0.147499509,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.123395443,0.140382491,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.206431389,0.138764937,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.184682369,0.139184998,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.133215427,0.140189233,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.198049545,0.138926524,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.1027507169,2915531621,0.3,0.07609275369,0.5625,3391034,7.128687859,0.14027827,P100,custom5,0.2069744263,0.04366015679,170,17.94,2.78,25.9,5.6,9.9
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.236926079,0.308935075,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.24804163,0.307877827,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.069489241,0.325787101,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.268933773,0.305910144,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.180564165,0.314409629,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.117746592,0.320744477,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.172241688,0.315234493,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.193144798,0.313170891,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.167206049,0.315735694,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.218117714,0.310740653,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.159460068,0.316509777,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.308091164,0.30228913,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.430744489,10208089582,0.3,0.2059514434,2.25,11661610,3.128946304,0.319596408,P100,shakemid,0.05049917754,0.1830291067,216,22.39,4.01,89.03,7.54,14.45
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.226027489,0.191349931,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.26075983,0.19008661,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.214397907,0.191776696,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.304066181,0.188534601,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.13694191,0.194668349,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.238268852,0.190902764,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.262257099,0.190032524,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.278831959,0.189435846,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.284197807,0.189243483,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.302657604,0.188584682,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.242841721,0.190736256,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.041877747,0.198338804,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1489893754,3943594121,0.3,0.07851399694,0.5625,4610362,5.281276226,0.189348172,P100,custom6,0.1498742379,0.06330758254,224,23.61,3.61,35.22,7.24,12.83
9.526,0.1951960826,4970946221,0.3,0.07847356453,0.5625,5718842,4.291708946,0.233007413,P100,custom7,0.1164072962,0.08294143175,278,29.26,4.44,43.68,8.88,15.76
9.526,0.1951960826,4970946221,0.3,0.07847356453,0.5625,5718842,4.189658165,0.238682957,P100,custom7,0.1164072962,0.08294143175,278,29.26,4.44,43.68,8.88,15.76
