GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU,Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Event File Size
4.113,0.1951960826,4970946221,0.3,,,5718842,1.765581608,0.566385601,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.786681414,0.559696873,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.792325258,0.557934446,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.766345859,0.566140541,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.786755085,0.559673795,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.78548336,0.560072428,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.2361785951,5882144461,0.3,,,6421306,1.521830797,0.657103275,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.505321026,0.664310126,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.525435925,0.655550314,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.506957531,0.663588707,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.526370764,0.655148817,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.510687947,0.661950075,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.54087007,0.648983986,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.513242602,0.660832572,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.526536465,0.655077702,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.508303642,0.662996476,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.522517681,0.656806822,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.511533618,0.661579728,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.2361785951,5882144461,0.3,,,6421306,1.527991056,0.654454093,K80,custom8,,0.2483007401,326,34.36,5.18,49.05,10.34,18.35
4.113,0.001480562734,663908170,0.3,,,737418,4.315175533,0.231740283,K80,shake16,,0.01732745746,210,21.03,3.91,5.64,7.35,14.08
4.113,0.001480562734,663908170,0.3,,,737418,4.351917744,0.229783755,K80,shake16,,0.01732745746,210,21.03,3.91,5.64,7.35,14.08
4.113,0.001480562734,663908170,0.3,,,737418,4.355074883,0.229617177,K80,shake16,,0.01732745746,210,21.03,3.91,5.64,7.35,14.08
