GPU TFLOPS,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
4.113,44949336,0.3,,,6421306,1.527991056,0.654454093,K80,custom8,0,1
9.526,32272660,0.3,,,4610362,5.226027489,0.191349931,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.26075983,0.19008661,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.214397907,0.191776696,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.304066181,0.188534601,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.13694191,0.194668349,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.238268852,0.190902764,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.262257099,0.190032524,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.278831959,0.189435846,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.284197807,0.189243483,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.302657604,0.188584682,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.242841721,0.190736256,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.041877747,0.198338804,P100,custom6,0.108920156,0.276233429
9.526,32272660,0.3,,,4610362,5.281276226,0.189348172,P100,custom6,0.108920156,0.276233429
9.526,40032056,0.3,,,5718842,4.291708946,0.233007413,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.189658165,0.238682957,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.201039791,0.238036308,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.125562668,0.242391179,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.286252975,0.233304008,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.286452293,0.23329316,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.283569336,0.233450172,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.236886501,0.236022372,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.239542484,0.235874509,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.082957268,0.244920516,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.261269569,0.234671847,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.297031879,0.232718776,P100,custom7,0.07832319796,0.3544144366
9.526,40032056,0.3,,,5718842,4.241024017,0.23579211,P100,custom7,0.07832319796,0.3544144366
9.526,44949336,0.3,,,6421306,3.704893112,0.26991332,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.693801641,0.270723795,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.577709436,0.279508445,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.672390699,0.272302182,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.653672934,0.273697186,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.690273285,0.270982641,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.684679747,0.271394007,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.560014963,0.280897696,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.69197464,0.270857765,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.698399782,0.27038721,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.682033539,0.271589052,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.67527318,0.272088618,P100,custom8,0.06440167479,0.4039592601
9.526,44949336,0.3,,,6421306,3.602854729,0.27755768,P100,custom8,0.06440167479,0.4039592601
